iter	RMSE
0	4724.508905
1	4708.072942
2	4686.672821
3	4674.347369
4	4657.447913
5	4640.354454
6	4626.404955
7	4611.948791
8	4539.417257
9	4525.816783
10	4458.529074
11	4391.753662
12	4378.827667
13	4368.133353
14	4303.37992
15	4241.255452
16	4230.708227
17	4181.531211
18	4170.665426
19	4113.616294
20	4104.637436
21	4094.913654
22	4048.162219
23	4037.445683
24	3982.538578
25	3940.453681
26	3930.242778
27	3876.208014
28	3864.592655
29	3852.591605
30	3843.870005
31	3835.492362
32	3784.61242
33	3734.803339
34	3686.950376
35	3640.288318
36	3632.273481
37	3619.945888
38	3572.335222
39	3528.112521
40	3482.311986
41	3438.510912
42	3428.436698
43	3415.879581
44	3407.179421
45	3366.464032
46	3323.978775
47	3286.119033
48	3277.788174
49	3270.634755
50	3263.840804
51	3257.740869
52	3220.594895
53	3184.080367
54	3177.061399
55	3137.959006
56	3103.95453
57	3070.275435
58	3037.663364
59	3007.026313
60	2977.638858
61	2949.201793
62	2942.565807
63	2914.342283
64	2906.216019
65	2879.366424
66	2853.18311
67	2827.635837
68	2803.66761
69	2780.036639
70	2757.318897
71	2749.914167
72	2743.67244
73	2737.8998
74	2716.059864
75	2712.327587
76	2705.345831
77	2683.909074
78	2663.072549
79	2643.16631
80	2637.265971
81	2616.553759
82	2598.018158
83	2585.319613
84	2580.256344
85	2563.112714
86	2546.391997
87	2530.355673
88	2514.57821
89	2499.207757
90	2484.900945
91	2470.79003
92	2464.533343
93	2458.773929
94	2453.80596
95	2440.203076
96	2435.456384
97	2421.979185
98	2409.155162
99	2404.569624
100	2392.403153
101	2380.739726
102	2376.334114
103	2369.497689
104	2360.756304
105	2356.095475
106	2344.687911
107	2333.980678
108	2323.298769
109	2313.426704
110	2307.770633
111	2298.174563
112	2294.149139
113	2289.248888
114	2279.753112
115	2270.934828
116	2263.763136
117	2256.640828
118	2250.031553
119	2238.034245
120	2233.878634
121	2226.039155
122	2222.442473
123	2217.594202
124	2210.122633
125	2199.896288
126	2188.490014
127	2181.50661
128	2171.096277
129	2167.915668
130	2164.245367
131	2156.709743
132	2149.368632
133	2135.453649
134	2124.61752
135	2120.436694
136	2111.626878
137	2100.402385
138	2093.542186
139	2091.284815
140	2086.857942
141	2084.219668
142	2081.758892
143	2077.37458
144	2070.865882
145	2067.90318
146	2061.749339
147	2055.846028
148	2049.227659
149	2043.43306
150	2038.073048
151	2027.25449
152	2017.342646
153	2015.002069
154	2007.661536
155	1997.161458
156	1994.924891
157	1986.647437
158	1981.292953
159	1978.314502
160	1973.303015
161	1963.688497
162	1958.474061
163	1953.479524
164	1947.481881
165	1939.885919
166	1934.35407
167	1928.469319
168	1924.880632
169	1921.84879
170	1919.360153
171	1914.878354
172	1913.047865
173	1905.702724
174	1898.490354
175	1890.593094
176	1886.692011
177	1882.229809
178	1875.797539
179	1871.765012
180	1867.76183
181	1860.622416
182	1856.737758
183	1854.389664
184	1851.214943
185	1847.255378
186	1845.295226
187	1841.58089
188	1835.368433
189	1832.047851
190	1828.456371
191	1825.081416
192	1819.433253
193	1816.860016
194	1813.769298
195	1806.928075
196	1804.462523
197	1801.746378
198	1794.953026
199	1791.79663
200	1790.638373
201	1787.422028
202	1784.955483
203	1782.842032
204	1780.761173
205	1772.905668
206	1769.979827
207	1767.079726
208	1764.403229
209	1760.928894
210	1757.587114
211	1751.511933
212	1748.908778
213	1742.467475
214	1736.719626
215	1734.279482
216	1727.932828
217	1725.253335
218	1722.726968
219	1720.351019
220	1716.168095
221	1714.33825
222	1711.930263
223	1710.48201
224	1708.095229
225	1703.023603
226	1700.599242
227	1698.184681
228	1692.843801
229	1688.356038
230	1686.588452
231	1681.337275
232	1680.146249
233	1676.957901
234	1675.539495
235	1673.426608
236	1671.432209
237	1669.86717
238	1667.852837
239	1666.416444
240	1664.918246
241	1663.248149
242	1662.04214
243	1660.290257
244	1658.357943
245	1651.375147
246	1649.29001
247	1645.21944
248	1642.995608
249	1639.495843
250	1638.100259
251	1631.917973
252	1629.99456
253	1627.371009
254	1625.593551
255	1624.045183
256	1619.918271
257	1615.262213
258	1613.790012
259	1611.997178
260	1607.402176
261	1604.00149
262	1601.304754
263	1599.652245
264	1598.181311
265	1596.60139
266	1594.945029
267	1592.593329
268	1588.968499
269	1580.31076
270	1578.831858
271	1575.170515
272	1573.517497
273	1571.002376
274	1569.696496
275	1568.449216
276	1566.865465
277	1564.122561
278	1560.282351
279	1558.762553
280	1557.106986
281	1554.799123
282	1553.721208
283	1551.791815
284	1547.730753
285	1544.334158
286	1541.813711
287	1539.476695
288	1538.149839
289	1537.120084
290	1533.46725
291	1532.402985
292	1529.754109
293	1528.517266
294	1526.934207
295	1526.014283
296	1524.566385
297	1523.454122
298	1522.086414
299	1517.83309
300	1516.684482
301	1515.534387
302	1514.044874
303	1509.774606
304	1506.849906
305	1504.368818
306	1503.803743
307	1500.398072
308	1495.757845
309	1494.428158
310	1493.123365
311	1490.292751
312	1488.249967
313	1486.04677
314	1484.054263
315	1482.357428
316	1479.939027
317	1477.312533
318	1476.028432
319	1474.879247
320	1473.908869
321	1472.342067
322	1470.750439
323	1468.101088
324	1466.648873
325	1466.203765
326	1465.073968
327	1464.650162
328	1464.177119
329	1460.660555
330	1459.784371
331	1459.025078
332	1457.326756
333	1456.134468
334	1455.565855
335	1451.092209
336	1450.364304
337	1447.473781
338	1446.13267
339	1445.229485
340	1444.809203
341	1444.246016
342	1441.515297
343	1438.895136
344	1436.131589
345	1434.239803
346	1432.437097
347	1429.736625
348	1427.135072
349	1424.71453
350	1423.24082
351	1421.903621
352	1420.963918
353	1418.239954
354	1416.321517
355	1414.562612
356	1411.877236
357	1409.600664
358	1405.233623
359	1404.420341
360	1403.773078
361	1401.925877
362	1399.935159
363	1398.771554
364	1396.907599
365	1396.549388
366	1395.099208
367	1392.200573
368	1390.74907
369	1387.878303
370	1386.393066
371	1385.005048
372	1384.766262
373	1383.527593
374	1381.196067
375	1379.86467
376	1377.415779
377	1375.33971
378	1374.678202
379	1372.991468
380	1371.786743
381	1370.676879
382	1369.599245
383	1368.574211
384	1365.985586
385	1364.511993
386	1362.847634
387	1360.982716
388	1358.976982
389	1357.418331
390	1354.403925
391	1354.023475
392	1351.811
393	1348.553586
394	1346.111216
395	1345.162532
396	1342.614228
397	1341.776495
398	1340.254905
399	1338.577118
400	1336.963465
401	1334.209193
402	1331.535066
403	1330.972555
404	1329.1266
405	1327.995884
406	1326.121593
407	1324.792457
408	1323.348533
409	1322.665624
410	1320.993725
411	1319.410796
412	1317.932086
413	1316.794076
414	1316.443812
415	1315.157017
416	1314.462837
417	1313.044997
418	1311.917602
419	1310.566765
420	1309.428547
421	1309.055762
422	1307.835329
423	1307.355508
424	1305.867808
425	1303.955012
426	1302.238623
427	1300.367273
428	1298.882864
429	1297.205534
430	1296.4373
431	1295.15447
432	1293.935036
433	1291.677249
434	1290.44897
435	1289.349143
436	1287.281921
437	1286.435629
438	1285.168447
439	1283.442413
440	1283.198224
441	1282.084168
442	1280.182594
443	1279.097226
444	1277.790247
445	1277.25221
446	1275.957662
447	1274.018146
448	1273.074202
449	1271.366955
450	1269.551067
451	1269.23283
452	1268.285898
453	1267.049838
454	1265.910162
455	1262.346615
456	1261.017604
457	1260.221656
458	1258.01683
459	1255.565445
460	1254.921289
461	1253.632174
462	1253.594886
463	1251.513068
464	1250.858684
465	1249.630486
466	1247.657565
467	1247.501009
468	1245.388948
469	1243.396345
470	1241.818908
471	1239.992605
472	1238.967388
473	1237.852461
474	1236.141929
475	1235.404072
476	1235.148469
477	1233.171317
478	1231.587888
479	1230.985907
480	1230.665077
481	1229.730902
482	1227.942416
483	1227.70529
484	1226.429109
485	1224.402662
486	1224.353927
487	1224.134149
488	1223.450138
489	1221.908544
490	1221.704088
491	1221.248082
492	1219.906542
493	1219.165966
494	1218.562735
495	1217.847036
496	1214.938658
497	1213.908789
498	1212.783979
499	1211.360582
