iter	Passed	Remaining
0	10	5179
1	14	3617
2	24	4073
3	27	3464
4	36	3640
5	41	3444
6	43	3076
7	46	2851
8	52	2876
9	56	2769
10	60	2672
11	71	2895
12	73	2768
13	76	2642
14	81	2635
15	85	2579
16	89	2546
17	93	2495
18	101	2569
19	104	2507
20	107	2459
21	114	2489
22	120	2502
23	123	2452
24	130	2476
25	134	2444
26	136	2394
27	138	2332
28	140	2276
29	141	2219
30	148	2247
31	152	2230
32	157	2225
33	161	2218
34	165	2195
35	169	2180
36	173	2168
37	179	2185
38	186	2199
39	191	2205
40	200	2242
41	205	2245
42	212	2263
43	218	2262
44	223	2264
45	226	2238
46	228	2206
47	231	2175
48	233	2148
49	237	2136
50	239	2111
51	244	2102
52	249	2100
53	254	2102
54	259	2101
55	264	2095
56	268	2085
57	270	2060
58	272	2035
59	273	2008
60	276	1990
61	280	1978
62	284	1970
63	286	1950
64	289	1936
65	292	1922
66	295	1910
67	300	1906
68	302	1889
69	306	1881
70	309	1867
71	311	1854
72	317	1859
73	321	1850
74	326	1848
75	330	1843
76	335	1841
77	339	1835
78	341	1818
79	343	1802
80	346	1790
81	349	1782
82	353	1776
83	355	1761
84	360	1758
85	363	1751
86	365	1737
87	367	1722
88	369	1705
89	371	1690
90	372	1676
91	376	1669
92	379	1661
93	382	1649
94	383	1635
95	385	1622
96	392	1631
97	400	1641
98	403	1635
99	407	1629
100	409	1618
101	417	1627
102	423	1634
103	431	1644
104	435	1637
105	444	1651
106	451	1659
107	457	1660
108	461	1654
109	466	1655
110	470	1650
111	476	1649
112	481	1650
113	486	1646
114	489	1637
115	494	1637
116	496	1626
117	501	1625
118	504	1616
119	509	1614
120	514	1609
121	516	1599
122	520	1596
123	524	1591
124	527	1583
125	529	1572
126	533	1567
127	538	1564
128	540	1555
129	544	1551
130	550	1551
131	555	1549
132	559	1542
133	565	1544
134	569	1539
135	571	1528
136	575	1524
137	577	1515
138	586	1523
139	590	1518
140	598	1525
141	602	1517
142	603	1506
143	609	1507
144	615	1506
145	618	1500
146	621	1491
147	623	1483
148	628	1480
149	630	1471
150	633	1464
151	637	1459
152	639	1451
153	642	1444
154	646	1439
155	650	1433
156	655	1431
157	658	1424
158	661	1419
159	663	1410
160	667	1405
161	669	1397
162	672	1390
163	677	1387
164	680	1382
165	684	1377
166	691	1378
167	697	1379
168	701	1373
169	705	1370
170	711	1368
171	715	1364
172	717	1356
173	719	1347
174	724	1346
175	728	1340
176	731	1334
177	736	1331
178	742	1331
179	745	1324
180	746	1316
181	749	1309
182	752	1303
183	757	1301
184	762	1298
185	766	1294
186	775	1297
187	785	1303
188	788	1297
189	792	1292
190	794	1285
191	801	1285
192	804	1280
193	807	1273
194	810	1268
195	816	1266
196	820	1262
197	823	1255
198	825	1249
199	832	1248
200	835	1242
201	840	1239
202	843	1233
203	848	1231
204	850	1223
205	852	1215
206	854	1209
207	856	1202
208	860	1197
209	864	1194
210	869	1190
211	871	1183
212	873	1176
213	876	1171
214	879	1165
215	881	1159
216	883	1151
217	885	1145
218	887	1139
219	889	1132
220	894	1128
221	900	1127
222	902	1120
223	905	1115
224	911	1114
225	915	1109
226	917	1103
227	919	1097
228	923	1092
229	929	1091
230	931	1085
231	934	1079
232	935	1072
233	939	1067
234	943	1063
235	947	1059
236	949	1053
237	953	1049
238	956	1044
239	958	1038
240	960	1032
241	962	1026
242	966	1022
243	969	1016
244	973	1012
245	977	1009
246	983	1007
247	989	1005
248	995	1003
249	1002	1002
250	1004	996
251	1009	993
252	1016	991
253	1020	988
254	1025	985
255	1029	980
256	1032	976
257	1034	970
258	1039	967
259	1043	963
260	1049	960
261	1051	955
262	1053	949
263	1055	943
264	1057	937
265	1063	935
266	1069	932
267	1072	928
268	1076	924
269	1082	921
270	1085	916
271	1091	915
272	1094	910
273	1098	905
274	1102	901
275	1104	896
276	1107	891
277	1112	888
278	1114	882
279	1117	877
280	1120	873
281	1126	870
282	1128	865
283	1132	861
284	1135	856
285	1139	853
286	1144	849
287	1147	844
288	1149	838
289	1153	835
290	1159	832
291	1162	827
292	1165	823
293	1171	820
294	1173	815
295	1176	810
296	1180	806
297	1182	801
298	1187	797
299	1191	794
300	1195	790
301	1199	786
302	1204	782
303	1210	780
304	1218	778
305	1222	775
306	1226	770
307	1228	765
308	1232	761
309	1235	757
310	1238	752
311	1241	748
312	1246	744
313	1249	740
314	1254	736
315	1261	734
316	1268	732
317	1271	727
318	1273	722
319	1275	717
320	1281	714
321	1284	710
322	1286	705
323	1290	701
324	1295	697
325	1299	693
326	1304	690
327	1309	686
328	1317	684
329	1321	680
330	1333	680
331	1335	675
332	1338	671
333	1345	668
334	1349	664
335	1353	660
336	1357	656
337	1360	652
338	1362	647
339	1365	642
340	1368	638
341	1372	633
342	1375	629
343	1380	625
344	1385	622
345	1390	619
346	1395	615
347	1403	612
348	1411	610
349	1415	606
350	1420	602
351	1425	599
352	1429	595
353	1433	591
354	1439	587
355	1443	583
356	1446	579
357	1448	574
358	1452	570
359	1454	565
360	1456	560
361	1458	555
362	1462	551
363	1463	546
364	1468	542
365	1470	538
366	1472	533
367	1475	529
368	1479	525
369	1484	521
370	1487	517
371	1489	512
372	1492	508
373	1495	503
374	1496	498
375	1501	495
376	1507	491
377	1511	487
378	1516	484
379	1522	480
380	1529	477
381	1534	474
382	1538	470
383	1546	467
384	1549	462
385	1551	458
386	1553	453
387	1555	449
388	1557	444
389	1562	440
390	1566	436
391	1567	431
392	1570	427
393	1573	423
394	1576	419
395	1580	415
396	1582	410
397	1584	406
398	1587	401
399	1590	397
400	1596	394
401	1600	390
402	1602	385
403	1608	382
404	1613	378
405	1616	374
406	1619	369
407	1621	365
408	1628	362
409	1630	357
410	1633	353
411	1639	350
412	1641	345
413	1644	341
414	1646	337
415	1648	332
416	1651	328
417	1654	324
418	1657	320
419	1660	316
420	1663	312
421	1668	308
422	1673	304
423	1675	300
424	1677	296
425	1679	291
426	1682	287
427	1689	284
428	1691	279
429	1693	275
430	1695	271
431	1698	267
432	1700	263
433	1704	259
434	1707	255
435	1710	251
436	1712	246
437	1718	243
438	1720	239
439	1722	234
440	1724	230
441	1726	226
442	1728	222
443	1729	218
444	1733	214
445	1736	210
446	1738	206
447	1741	202
448	1743	198
449	1745	193
450	1749	190
451	1755	186
452	1758	182
453	1765	178
454	1768	174
455	1770	170
456	1773	166
457	1776	162
458	1780	159
459	1783	155
460	1789	151
461	1791	147
462	1792	143
463	1797	139
464	1799	135
465	1801	131
466	1803	127
467	1807	123
468	1814	119
469	1817	116
470	1819	112
471	1821	108
472	1824	104
473	1828	100
474	1831	96
475	1834	92
476	1836	88
477	1838	84
478	1840	80
479	1841	76
480	1843	72
481	1845	68
482	1847	65
483	1848	61
484	1850	57
485	1852	53
486	1854	49
487	1855	45
488	1859	41
489	1860	37
490	1862	34
491	1864	30
492	1865	26
493	1867	22
494	1869	18
495	1870	15
496	1872	11
497	1875	7
498	1877	3
499	1879	0
